"id","lane","type","current text","approve (Y/N)","Eric's edit"
"truth:space.peak","clinic","truth","Throughput at peak is a floor-plan problem before it is a staffing problem.","",""
"truth:cost.replace","clinic","truth","Equipment that does six jobs is cheaper to own than six pieces that do one.","",""
"truth:cost.budget","clinic","truth","The cheapest station is the one that covers the most programs.","",""
"truth:cost.station","clinic","truth","A wall is the last unused floor space in most clinics.","",""
"truth:homeprog.discharge","clinic","truth","Patients keep doing what they can do at home with the same handholds they used in the clinic.","",""
"truth:homeprog.noequip","clinic","truth","A handhold changes what a patient is willing to try alone.","",""
"truth:homeprog.forget","clinic","truth","A program written in rows and landmarks is a program a patient can follow.","",""
"truth:throughput.waiting","clinic","truth","A station that changes with a band swap keeps the floor moving.","",""
"truth:throughput.onetoone","clinic","truth","A self-explaining station returns clinician minutes to the people who need them.","",""
"truth:throughput.groups","clinic","truth","Groups run smoothly when everyone is looking at the same wall.","",""
"truth:area.comeback","me/loved","truth","A comeback that is practiced a little every day is a comeback that holds.","",""
"truth:area.surgery","mil","truth","Recovery moves forward on small, repeatable practice with something steady to hold.","",""
"truth:area.chronic","mil","truth","Managing a condition is mostly the habit of moving anyway, gently, with a handhold.","",""
"truth:area.ready","mil","truth","Readiness is built in the small sessions between the big ones.","",""
"truth:area.transition","mil","truth","A routine that fits on one wall is a routine that survives a move.","",""
"truth:area.prevent","athlete","truth","Athletes stay healthy on the control work they do when no one is watching.","",""
"truth:area.mobility","athlete","truth","Range comes back when {you} can measure it, and the board makes it measurable.","",""
"truth:area.rtp","athlete","truth","Returning to play is a ladder, and the board gives {you} the rungs.","",""
"truth:area.recovery","athlete","truth","Recovery is active when it is gentle and on purpose.","",""
"try:updown:name","me/loved","try today","Slow sit-to-stand","",""
"try:updown:step:1","me/loved","try today","Sit toward the front of a firm chair, feet flat and slightly back.","",""
"try:updown:step:2","me/loved","try today","Lean forward, nose over toes, and stand up slowly.","",""
"try:updown:step:3","me/loved","try today","Sit back down just as slowly. Five times.","",""
"try:updown:note","me/loved","try today","Use the chair arms only if {you} need them.","",""
"try:steady:name","me/loved","try today","Kitchen-counter weight shift","",""
"try:steady:step:1","me/loved","try today","Stand at the counter with both hands resting on it.","",""
"try:steady:step:2","me/loved","try today","Shift {your} weight slowly to the left foot, pause, then to the right.","",""
"try:steady:step:3","me/loved","try today","Ten shifts. Then try with fingertips only.","",""
"try:steady:note","me/loved","try today","Keep the counter within reach the whole time.","",""
"try:reach:name","me/loved","try today","Doorway climb","",""
"try:reach:step:1","me/loved","try today","Stand facing a door frame. Rest {your} fingertips on it at shoulder height.","",""
"try:reach:step:2","me/loved","try today","Walk {your} fingers up the frame as far as feels comfortable.","",""
"try:reach:step:3","me/loved","try today","Hold for a breath and walk them back down. Six times each arm.","",""
"try:reach:note","me/loved","try today","Stop below any pinch at the top.","",""
"try:stiff:name","me/loved","try today","Standing hinge","",""
"try:stiff:step:1","me/loved","try today","Stand with a hand on the back of a chair.","",""
"try:stiff:step:2","me/loved","try today","Push {your} hips back and let {your} chest come forward, back long.","",""
"try:stiff:step:3","me/loved","try today","Return to tall. Eight slow reps.","",""
"try:stiff:note","me/loved","try today","Small range is fine. It is about motion, not depth.","",""
"try:comeback:name","me/loved","try today","Breathing and a gentle march","",""
"try:comeback:step:1","me/loved","try today","Stand with a hand on a wall.","",""
"try:comeback:step:2","me/loved","try today","Breathe out slowly and lift one knee a few inches. Lower it.","",""
"try:comeback:step:3","me/loved","try today","Alternate for one minute.","",""
"try:comeback:note","me/loved","try today","Only within what {your} clinician has cleared.","",""
"try:ahead:name","me/loved","try today","One-minute single-leg stand","",""
"try:ahead:step:1","me/loved","try today","Stand beside a counter with one hand on it.","",""
"try:ahead:step:2","me/loved","try today","Lift one foot an inch off the floor and hold for up to thirty seconds.","",""
"try:ahead:step:3","me/loved","try today","Switch feet. Repeat once.","",""
"try:ahead:note","me/loved","try today","Lighten the hand as it gets easier.","",""
"try:surgery:name","mil","try today","Breathing and a gentle march","",""
"try:surgery:step:1","mil","try today","Stand with a hand on a wall.","",""
"try:surgery:step:2","mil","try today","Breathe out slowly and lift one knee a few inches. Lower it.","",""
"try:surgery:step:3","mil","try today","Alternate for one minute.","",""
"try:surgery:note","mil","try today","Only within what {your} provider has cleared.","",""
"try:chronic:name","mil","try today","Wall sway","",""
"try:chronic:step:1","mil","try today","Stand with both hands flat on a wall, feet hip-width apart.","",""
"try:chronic:step:2","mil","try today","Sway {your} hips gently side to side, then in a slow circle.","",""
"try:chronic:step:3","mil","try today","One minute, easy breathing.","",""
"try:chronic:note","mil","try today","Keep the movement small and comfortable.","",""
"try:ready:name","mil","try today","Wall split squat","",""
"try:ready:step:1","mil","try today","Stand a long step from a wall, one foot forward, hand on the wall.","",""
"try:ready:step:2","mil","try today","Lower straight down until the back knee is near the floor.","",""
"try:ready:step:3","mil","try today","Drive back up. Eight each side.","",""
"try:ready:note","mil","try today","Keep the front knee over the foot.","",""
"try:transition:name","mil","try today","Doorway chest opener","",""
"try:transition:step:1","mil","try today","Stand in a doorway with forearms on the frame at shoulder height.","",""
"try:transition:step:2","mil","try today","Step one foot through until {you} feel a stretch across the chest.","",""
"try:transition:step:3","mil","try today","Hold for five slow breaths. Twice.","",""
"try:transition:note","mil","try today","Ease off if the shoulder pinches.","",""
"try:prevent:name","athlete","try today","Single-leg reach","",""
"try:prevent:step:1","athlete","try today","Stand on one leg beside a wall, one hand hovering near it.","",""
"try:prevent:step:2","athlete","try today","Reach the other foot forward, to the side and behind, tapping the floor lightly.","",""
"try:prevent:step:3","athlete","try today","Five rounds each leg.","",""
"try:prevent:note","athlete","try today","Touch the wall whenever {you} need it.","",""
"try:mobility:name","athlete","try today","Doorway climb","",""
"try:mobility:step:1","athlete","try today","Stand facing a door frame. Rest {your} fingertips on it at shoulder height.","",""
"try:mobility:step:2","athlete","try today","Walk {your} fingers up the frame as far as feels comfortable.","",""
"try:mobility:step:3","athlete","try today","Hold for a breath and walk them back down. Six times each arm.","",""
"try:mobility:note","athlete","try today","Stop below any pinch at the top.","",""
"try:rtp:name","athlete","try today","Controlled step-down","",""
"try:rtp:step:1","athlete","try today","Stand on the bottom stair with a hand on the rail.","",""
"try:rtp:step:2","athlete","try today","Lower one heel toward the floor slowly, then push back up.","",""
"try:rtp:step:3","athlete","try today","Six each side.","",""
"try:rtp:note","athlete","try today","Only within what {your} clinician has cleared.","",""
"try:recovery:name","athlete","try today","Wall sway","",""
"try:recovery:step:1","athlete","try today","Stand with both hands flat on a wall, feet hip-width apart.","",""
"try:recovery:step:2","athlete","try today","Sway {your} hips gently side to side, then in a slow circle.","",""
"try:recovery:step:3","athlete","try today","One minute, easy breathing.","",""
"try:recovery:note","athlete","try today","Keep it easy. This is a recovery day.","",""
"week:1","all","week note","Week 1: learn the setup. Two movements, both hands on the rail, easy band.","",""
"week:2","all","week note","Week 2: add the third movement. Keep the rail, add a few reps.","",""
"week:3","all","week note","Week 3: the full set. One hand on the rail where {you} can.","",""
"week:4","all","week note","Week 4: the harder version of each movement, still with a handhold nearby.","",""
"question:me:1","me","question","Is there anything in my history that changes which of these movements I should start with?","",""
"question:me:2","me","question","How many days a week is a good starting point for me?","",""
"question:me:3","me","question","What should I notice that means I should stop and check in with you?","",""
"question:me:4","me","question","Which of these would you progress first, and how?","",""
"question:me:5","me","question","Is a wall-mounted board with a rail a good fit for my home program?","",""
"question:loved:1","loved","question","Is there anything in their history that changes which of these movements they should start with?","",""
"question:loved:2","loved","question","How many days a week is a good starting point for them?","",""
"question:loved:3","loved","question","What should we watch for that means they should stop and check in with you?","",""
"question:loved:4","loved","question","Should someone be with them when they practice, at least at first?","",""
"question:loved:5","loved","question","Is a wall-mounted board with a rail a good fit for their home program?","",""
"question:mil:1","mil","question","Does anything in my service-connected history change which of these movements I should start with?","",""
"question:mil:2","mil","question","Can this plan be added to my VA home exercise program?","",""
"question:mil:3","mil","question","How many days a week is a good starting point?","",""
"question:mil:4","mil","question","What should I notice that means I should stop and check in?","",""
"question:mil:5","mil","question","Would a wall-mounted board with a rail be appropriate for my home program?","",""
"question:clinic:1","clinic","question","Which of our current home programs would transfer to a numbered-row wall board?","",""
"question:clinic:2","clinic","question","Which patient groups would you assign to it first?","",""
"question:clinic:3","clinic","question","How would we document row and band progressions in our notes?","",""
"question:clinic:4","clinic","question","Where on the floor plan would a three-by-three-foot station open up the most time?","",""
"question:athlete:1","athlete","question","Does anything in my injury history change which of these movements I should start with?","",""
"question:athlete:2","athlete","question","How should this fit around my current training load?","",""
"question:athlete:3","athlete","question","What should I notice that means I should back off?","",""
"question:athlete:4","athlete","question","Which of these would you progress first, and how?","",""
"exercise:shoulder-pull-apart","all","exercise","Band pull-apart","",""
"exercise:shoulder-wall-slide","all","exercise","Wall reach and slide","",""
"exercise:arm-row","all","exercise","Standing row","",""
"exercise:arm-overhead-hold","all","exercise","Overhead reach hold","",""
"exercise:core-press-out","all","exercise","Anti-rotation press","",""
"exercise:core-hinge","all","exercise","Hip hinge with the rail","",""
"exercise:hip-side-step","all","exercise","Side step with the rail","",""
"exercise:hip-opener","all","exercise","Standing hip opener","",""
"exercise:knee-sit-to-stand","all","exercise","Rail-assisted mini squat","",""
"exercise:knee-march","all","exercise","Supported march","",""
"exercise:ankle-heel-raise","all","exercise","Heel raise with the rail","",""
"exercise:ankle-rock","all","exercise","Ankle rock","",""
"exercise:balance-single-leg","all","exercise","Single-leg stand with the rail","",""
"exercise:balance-tandem","all","exercise","Tandem stance","",""
"exercise:balance-weight-shift","all","exercise","Side-to-side weight shift","",""
"genre:climb:whatItIs","all","genre","Moving a joint through its range with a little help, so you can reach further than you could on your own.","",""
"genre:climb:howTheBoardDoesIt","all","genre","Your hands walk up the hexagons one row at a time, and the row you reach shows how high you got today.","",""
"genre:climb:exampleMove","all","genre","Wall walk: face the board and walk your fingers up the hexagons as high as is comfortable, then walk them back down.","",""
"genre:climb:helpsMost","all","genre","People working to reach overhead again, for a shelf, a cupboard or a coat.","",""
"genre:strengthen:whatItIs","all","genre","Working muscles against resistance so lifting, pushing and pulling in daily life feel easier.","",""
"genre:strengthen:howTheBoardDoesIt","all","genre","A band clips to any of the {anchors} anchor points ({anchorsXT} on the XT), so it pulls from exactly the angle you choose.","",""
"genre:strengthen:exampleMove","all","genre","Standing row: clip a band at chest height and draw both ends back toward your ribs, then return slowly.","",""
"genre:strengthen:helpsMost","all","genre","Anyone who wants to keep carrying groceries, grandkids and their own weight.","",""
"genre:stretch:whatItIs","all","genre","Easing a muscle into a longer position and holding it gently until it relaxes.","",""
"genre:stretch:howTheBoardDoesIt","all","genre","A band holds the stretch at the exact height your body needs, so you can settle into it without straining.","",""
"genre:stretch:exampleMove","all","genre","Overhead reach: clip a band high on the board, hold the loop and let it draw your arm gently upward.","",""
"genre:stretch:helpsMost","all","genre","People who feel tight after sitting, driving or a long day on their feet.","",""
"genre:steady:whatItIs","all","genre","Practicing standing, shifting your weight and stepping so staying steady on your feet feels more natural.","",""
"genre:steady:howTheBoardDoesIt","all","genre","The handrails give a secure grip while you practice standing and stepping, and you can lighten your grip as you feel ready.","",""
"genre:steady:exampleMove","all","genre","Heel-to-toe stand: hold both rails, place one foot directly in front of the other and hold, then switch feet.","",""
"genre:steady:helpsMost","all","genre","People who have started reaching for walls and counters as they walk.","",""
"genre:rise:whatItIs","all","genre","Practicing the everyday moves of standing up, sitting down, reaching and stepping.","",""
"genre:rise:howTheBoardDoesIt","all","genre","The rails give support for sit-to-stand, reaching and stepping, right where you push or pull.","",""
"genre:rise:exampleMove","all","genre","Sit-to-stand: set a sturdy chair in front of the board, hold the rails and stand up slowly, then sit back down with control.","",""
"genre:rise:helpsMost","all","genre","People for whom getting out of a chair, a car or bed is getting harder.","",""
"audience:military:problem","military","audience","Rehab after surgery or injury has to keep going between appointments, at home or on base.","",""
"audience:military:howItHelps","military","audience","One wall holds the reaching, strengthening and joint work a program calls for, so practice continues between visits.","",""
"audience:patients:problem","patients","audience","Strength, balance and independence at home are slipping, for you or for someone you care for.","",""
"audience:patients:howItHelps","patients","audience","Short sessions on one wall, with something steady to hold, built around what is getting harder.","",""
"audience:clinics:problem","clinics","audience","Floor space is tight, equipment is expensive, and patients skip their home programs.","",""
"audience:clinics:howItHelps","clinics","audience","One board on the wall covers all six kinds of practice in {space} of floor, and patients can use the same board at home.","",""
"audience:athletes:problem","athletes","audience","Prehab, mobility and recovery work takes space and gear that wears out and gets replaced every season.","",""
"audience:athletes:howItHelps","athletes","audience","Buy the board once and mount it where the team trains: bands and anchor points cover strength, joint work and stretching.","",""
